"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.163","20.54.37.73","TLSv1.2","155","Application Data"
"2","0.049079","20.54.37.73","192.168.1.163","TLSv1.2","225","Application Data"
"3","0.092624","192.168.1.163","20.54.37.73","TCP","54","49734  >  443 [ACK] Seq=102 Ack=172 Win=516 Len=0"
"4","0.539600","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"5","1.296166","192.99.44.195","192.168.1.163","TLSv1.2","78","Application Data"
"6","1.297379","192.168.1.163","192.99.44.195","TLSv1.2","82","Application Data"
"7","1.408668","192.99.44.195","192.168.1.163","TCP","60","443  >  50117 [ACK] Seq=25 Ack=29 Win=879 Len=0"
"8","1.539285","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"9","2.275777","192.168.1.163","157.240.231.15","TLSv1.2","86","Application Data"
"10","2.281913","157.240.231.15","192.168.1.163","TCP","60","443  >  51196 [ACK] Seq=1 Ack=33 Win=279 Len=0"
"11","2.342363","157.240.231.15","192.168.1.163","TLSv1.2","82","Application Data"
"12","2.384193","192.168.1.163","157.240.231.15","TCP","54","51196  >  443 [ACK] Seq=33 Ack=29 Win=511 Len=0"
"13","2.540875","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"14","2.775548","192.168.1.69","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"15","2.775548","192.168.1.69","239.255.255.250","SSDP","444","NOTIFY * HTTP/1.1 "
"16","2.775548","192.168.1.69","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"17","2.776910","192.168.1.69","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"18","2.776910","192.168.1.69","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"19","2.776910","192.168.1.69","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"20","2.876043","192.168.1.69","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"21","2.876043","192.168.1.69","239.255.255.250","SSDP","444","NOTIFY * HTTP/1.1 "
"22","2.876043","192.168.1.69","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"23","2.877550","192.168.1.69","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"24","2.877550","192.168.1.69","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"25","2.877550","192.168.1.69","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"26","3.539085","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"27","4.332153","149.154.167.91","192.168.1.163","SSL","415","Continuation Data"
"28","4.344082","192.168.1.163","149.154.167.43","TCP","66","51142  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"29","4.348006","192.168.1.163","149.154.167.43","TCP","66","51143  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"30","4.379875","149.154.167.43","192.168.1.163","TCP","66","443  >  51142 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1452 SACK_PERM WS=32"
"31","4.380057","192.168.1.163","149.154.167.43","TCP","54","51142  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0"
"32","4.381052","192.168.1.163","149.154.167.43","SSL","275","Continuation Data"
"33","4.382625","192.168.1.163","149.154.167.91","TCP","54","52005  >  443 [ACK] Seq=1 Ack=362 Win=513 Len=0"
"34","4.383751","149.154.167.43","192.168.1.163","TCP","66","80  >  51143 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1452 SACK_PERM WS=32"
"35","4.383838","192.168.1.163","149.154.167.43","TCP","54","51143  >  80 [ACK] Seq=1 Ack=1 Win=132096 Len=0"
"36","4.397376","192.168.1.163","149.154.167.43","HTTP","521","POST /api HTTP/1.1  (application/x-www-form-urlencoded)"
"37","4.416928","149.154.167.43","192.168.1.163","SSL","207","Continuation Data"
"38","4.418175","192.168.1.163","149.154.167.43","TCP","54","51143  >  80 [FIN, ACK] Seq=468 Ack=1 Win=132096 Len=0"
"39","4.420500","192.168.1.163","149.154.167.43","SSL","271","Continuation Data"
"40","4.433689","149.154.167.43","192.168.1.163","HTTP","401","HTTP/1.1 200 OK "
"41","4.434535","192.168.1.163","149.154.167.43","TCP","54","51143  >  80 [RST, ACK] Seq=469 Ack=348 Win=0 Len=0"
"42","4.454573","149.154.167.43","192.168.1.163","TCP","60","80  >  51143 [FIN, ACK] Seq=348 Ack=469 Win=66624 Len=0"
"43","4.456743","149.154.167.43","192.168.1.163","SSL","159","Continuation Data"
"44","4.457780","192.168.1.163","149.154.167.43","SSL","223","Continuation Data"
"45","4.495033","149.154.167.43","192.168.1.163","SSL","223","Continuation Data"
"46","4.503109","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"47","4.503109","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"48","4.503109","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"49","4.503109","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"50","4.503109","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"51","4.503109","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"52","4.503109","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"53","4.503109","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"54","4.503109","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"55","4.503326","192.168.1.163","149.154.167.43","TCP","54","51142  >  443 [ACK] Seq=608 Ack=13496 Win=132096 Len=0"
"56","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"57","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"58","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"59","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"60","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"61","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"62","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"63","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"64","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"65","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"66","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"67","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"68","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"69","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"70","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"71","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"72","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"73","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"74","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"75","4.536741","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
"76","4.536992","192.168.1.163","149.154.167.43","TCP","54","51142  >  443 [ACK] Seq=608 Ack=42536 Win=132096 Len=0"
"77","4.542085","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"78","4.573524","149.154.167.43","192.168.1.163","SSL","1506","Continuation Data"
